과밀지수(밀집도),관리년월,대분류명,상권명칭,상권번호,중분류명
0.9847,2017-01,소매,인천종합터미널,1713,가전제품소매
1.6518,2017-01,소매,송우리시외버스터미널_2,2399,가전제품소매
0.4912,2017-01,소매,남선공원,1217,가전제품소매
1.7180,2017-01,소매,인천 연수구 연수2동_1,1683,가전제품소매
2.1680,2017-01,소매,부산 연제구 연산동역_4,439,가전제품소매
5.4330,2017-01,소매,진해역,333,가전제품소매
0.4947,2017-01,소매,안동시청_1,1277,가전제품소매
1.5133,2017-01,소매,서울 종로구 종로5가역_2,2236,가전제품소매
1.0400,2017-01,소매,주안역_2,1754,가전제품소매
0.7772,2017-01,소매,김포공설운동장앞사거리_2,2294,가전제품소매
0.8004,2017-01,소매,김포공설운동장앞사거리_2,2294,가전제품소매
2.2349,2017-01,소매,중앙로역_1,1206,가전제품소매
1.3443,2017-01,소매,경남 창원시 웅동2동_1,231,가전제품소매
0.8907,2017-01,소매,인천 남동구 구월4동_1,1735,가전제품소매
1.5547,2017-01,소매,시흥시립도서관앞,1600,가전제품소매
1.0758,2017-01,소매,경북 구미시 형곡1동_1,1131,가전제품소매
1.0213,2017-01,소매,동송시외버스공용터미널,2424,가전제품소매
0.8162,2017-01,소매,인천 계양구 계산4동_1,2115,가전제품소매
1.0141,2017-01,소매,대전 시청역_2,1224,가전제품소매
0.6003,2017-01,소매,시흥시립도서관앞,1600,가전제품소매
1.6141,2017-01,소매,전북 전주시 중화산2동_1,777,가전제품소매
0.7050,2017-01,소매,경남 창원시 의창동_2,582,가전제품소매
1.2774,2017-01,소매,경희대입구,1475,가전제품소매
0.8463,2017-01,소매,탄리사거리,1705,가전제품소매
2.8711,2017-01,소매,전북 익산시 신동_1,1046,가전제품소매
2.2977,2017-01,소매,용문역,1808,가전제품소매
0.3614,2017-01,소매,서대전네거리역_2,1205,가전제품소매
0.7008,2017-01,소매,대전역_1,1209,가전제품소매
0.6536,2017-01,소매,광주 광산구 첨단2동_1,514,가전제품소매
2.3480,2017-01,소매,전남 진도군 진도읍_2,30,가전제품소매
1.1284,2017-01,소매,제주 제주시 노형동_1,7,가전제품소매
0.5187,2017-01,소매,함양군청,649,가전제품소매
2.2104,2017-01,소매,서울 금천구 시흥1동_4,1727,가전제품소매
1.1349,2017-01,소매,강릉역광장_2,2523,가전제품소매
0.6050,2017-01,소매,영암군청,87,가전제품소매
1.6215,2017-01,소매,전남대,417,가전제품소매
1.9423,2017-01,소매,부산 부산진구 서면역_3,376,가전제품소매
0.7112,2017-01,소매,초지동주민센터,1551,가전제품소매
0.5332,2017-01,소매,서울 강남구 수서역,1848,가전제품소매
1.7377,2017-01,소매,연세대학교원주의과대학,2582,가전제품소매
0.9841,2017-01,소매,인천 남구 주안2동_1,1742,가전제품소매
1.3118,2017-01,소매,수원버스터미널,1482,가전제품소매
1.0255,2017-01,소매,평택역_1,1427,가전제품소매
2.8252,2017-01,소매,홍익대학교 주변,2165,가전제품소매
0.9405,2017-01,소매,부산 영도구 남항동_3,225,가전제품소매
1.2155,2017-01,소매,경남 김해시 내외동_4,550,가전제품소매
0.1755,2017-01,소매,대전역_1,1209,가전제품소매
1.0486,2017-01,소매,연세대학교원주의과대학,2582,가전제품소매
2.0557,2017-01,소매,영천역,1049,가전제품소매
0.7246,2017-01,소매,경기 군포시 금정역,1613,가전제품소매
1.1224,2017-01,소매,온천장역,524,가전제품소매
0.4262,2017-01,소매,충남 보령시 대천2동_1,1241,가전제품소매
3.4555,2017-01,소매,경남 창원시 양덕2동_2,518,가전제품소매
2.1196,2017-01,소매,강릉역광장_1,2522,가전제품소매
1.1190,2017-01,소매,대전 시청역_2,1224,가전제품소매
0.9004,2017-01,소매,팔달문로터리_3,1527,가전제품소매
0.3057,2017-01,소매,마두역,2340,가전제품소매
1.3763,2017-01,소매,충남 계룡시 엄사면_2,1191,가전제품소매
0.6976,2017-01,소매,인천 계양구 임학역,2143,가전제품소매
1.8196,2017-01,소매,경남 창원시 명곡동_1,581,가전제품소매
0.5881,2017-01,소매,서울 강동구 명일역,2144,가전제품소매
3.3998,2017-01,소매,수원지방법원안산지원앞_3,1559,가전제품소매
0.9290,2017-01,소매,구로디지탈1단지,1844,가전제품소매
2.1616,2017-01,소매,진해역,333,가전제품소매
0.8363,2017-01,소매,경기 성남시 야탑역_2,1678,가전제품소매
2.6406,2017-01,소매,충남 천안시 부성동_8,1377,가전제품소매
0.6140,2017-01,소매,안양역_3,1653,가전제품소매
2.3078,2017-01,소매,월평역,1237,가전제품소매
