시도,시군구,업종대분류,분류,업종중분류,1년 미만,1~2년,2~3년,3~5년,5년 이상,합계,평균
서울특별시,종로구,관광/여가/오락,기타,연극/영화/극장,1,2,42,39,16,100,3.44
서울특별시,종로구,관광/여가/오락,기타,전시/관람,0,6,18,35,44,103,4.02
서울특별시,종로구,관광/여가/오락,기타,PC/오락/당구/볼링등,0,5,12,86,20,123,3.91
서울특별시,종로구,관광/여가/오락,기타,경마/경륜/성인오락,0,1,1,1,2,5,3.6
서울특별시,종로구,관광/여가/오락,기타,스포츠/운동,0,0,1,0,0,1,2.5
서울특별시,종로구,관광/여가/오락,기타,요가/단전/마사지,0,1,6,18,15,40,4.09
서울특별시,종로구,관광/여가/오락,기타,놀이/여가/취미,0,0,4,6,2,12,3.67
서울특별시,종로구,관광/여가/오락,기타,무도/유흥/가무,1,7,10,75,14,107,3.79
서울특별시,종로구,부동산,기타,부동산중개,33,20,47,60,110,270,3.53
서울특별시,종로구,부동산,기타,평가/개발/관리,2,3,11,3,107,126,4.6
서울특별시,종로구,부동산,기타,부동산관련서비스,0,0,0,1,23,24,4.96
서울특별시,종로구,부동산,기타,부동산임대,1,1,25,18,31,76,3.84
서울특별시,종로구,부동산,기타,분양,0,0,25,3,6,34,3.07
서울특별시,종로구,생활서비스,기타,기타서비스업,3,1,81,28,51,164,3.49
서울특별시,종로구,생활서비스,기타,광고/인쇄,2,1,10,10,40,63,4.25
서울특별시,종로구,생활서비스,기타,예식/의례/관혼상제,3,2,2,9,8,24,3.56
서울특별시,종로구,생활서비스,기타,인력/고용/용역알선,0,0,10,9,29,48,4.29
서울특별시,종로구,생활서비스,기타,자동차/이륜차,0,2,6,68,45,121,4.26
서울특별시,종로구,생활서비스,기타,법무세무회계,5,12,15,37,98,167,4.17
서울특별시,종로구,생활서비스,기타,행사/이벤트,1,1,3,8,15,28,4.16
서울특별시,종로구,생활서비스,기타,개인서비스,0,2,9,13,20,44,4.03
서울특별시,종로구,생활서비스,기타,주택수리,1,0,9,2,17,29,4.0
서울특별시,종로구,생활서비스,기타,사진,7,5,5,17,18,52,3.49
서울특별시,종로구,생활서비스,기타,대행업,0,0,14,6,44,64,4.36
서울특별시,종로구,생활서비스,기타,대중목욕탕/휴게,5,5,0,10,12,32,3.44
서울특별시,종로구,생활서비스,기타,물품기기대여,0,0,2,4,23,29,4.69
서울특별시,종로구,생활서비스,기타,개인/가정용품수리,6,9,4,6,22,47,3.41
서울특별시,종로구,생활서비스,기타,주유소/충전소,0,0,4,3,3,10,3.7
서울특별시,종로구,생활서비스,기타,장례/묘지,1,0,4,2,9,16,3.97
서울특별시,종로구,생활서비스,기타,이/미용/건강,54,50,52,124,146,426,3.42
서울특별시,종로구,생활서비스,기타,세탁/가사서비스,18,9,16,23,86,152,3.85
서울특별시,종로구,생활서비스,기타,운송/배달/택배,4,2,6,9,66,87,4.44
서울특별시,종로구,소매,기타,가정/주방/인테리어,21,24,38,233,131,447,3.87
서울특별시,종로구,소매,기타,책/서적/도서,2,2,8,47,40,99,4.16
